mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.10741362571716309,0.01962748165482323,0.012841939926147461,0.0019157209228202337,5,2,50,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 50}",0.8852459016393442,0.8032786885245902,0.8360655737704918,0.8360655737704918,0.8166666666666667,0.8354644808743169,0.0278143686855892,11
0.203522253036499,0.015449601672412553,0.02313399314880371,0.003500735666186444,5,2,100,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 100}",0.8852459016393442,0.819672131147541,0.8360655737704918,0.8360655737704918,0.8166666666666667,0.8387431693989071,0.024608614814312885,4
0.3107337951660156,0.012625427121347716,0.03525524139404297,0.002795832155052049,5,2,200,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 200}",0.8852459016393442,0.819672131147541,0.8360655737704918,0.8360655737704918,0.8166666666666667,0.8387431693989071,0.024608614814312885,4
0.08066926002502442,0.005274724750184118,0.009758853912353515,0.00020264589622121386,5,5,50,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 50}",0.8852459016393442,0.8032786885245902,0.8360655737704918,0.8360655737704918,0.8166666666666667,0.8354644808743169,0.0278143686855892,11
0.15694518089294435,0.010910690722184483,0.019692659378051758,0.0024754641589163455,5,5,100,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 100}",0.8852459016393442,0.819672131147541,0.8360655737704918,0.8360655737704918,0.8166666666666667,0.8387431693989071,0.024608614814312885,4
0.31696581840515137,0.012848289440426373,0.03621549606323242,0.00452118986286537,5,5,200,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 200}",0.8852459016393442,0.819672131147541,0.8360655737704918,0.819672131147541,0.8166666666666667,0.835464480874317,0.025809709819467026,10
0.08626813888549804,0.00571286387727344,0.011325216293334961,0.0010601758568186143,10,2,50,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 50}",0.8688524590163934,0.8032786885245902,0.8360655737704918,0.8360655737704918,0.8166666666666667,0.8321857923497268,0.022140522874196596,15
0.1933602809906006,0.04242200798882186,0.01931476593017578,0.001860610330349226,10,2,100,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 100}",0.8524590163934426,0.819672131147541,0.8360655737704918,0.819672131147541,0.8333333333333334,0.83224043715847,0.012169976749355216,13
0.7668588161468506,0.2644663676519726,0.11482939720153809,0.05418792198125711,10,2,200,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 200}",0.8360655737704918,0.819672131147541,0.8360655737704918,0.8032786885245902,0.8333333333333334,0.8256830601092895,0.012745250043377721,18
0.3917073249816895,0.11807398486512731,0.043694067001342776,0.0234347966446197,10,5,50,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 50}",0.8852459016393442,0.819672131147541,0.8360655737704918,0.8360655737704918,0.8333333333333334,0.8420765027322406,0.022424354676156475,1
0.6776172637939453,0.20292430995695354,0.07900791168212891,0.026178258131954728,10,5,100,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 100}",0.8852459016393442,0.819672131147541,0.8360655737704918,0.819672131147541,0.8333333333333334,0.8387978142076504,0.02419228811057775,2
0.5311181545257568,0.24450862105982538,0.04846434593200684,0.01994899336002466,10,5,200,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 200}",0.8852459016393442,0.819672131147541,0.8360655737704918,0.8360655737704918,0.8166666666666667,0.8387431693989071,0.024608614814312885,4
0.08578324317932129,0.004075004296496701,0.011965417861938476,0.0024129097924906937,,2,50,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 50}",0.8688524590163934,0.819672131147541,0.8360655737704918,0.8032786885245902,0.8333333333333334,0.8322404371584697,0.02169336966260021,14
0.1670144557952881,0.01242685325000901,0.018081235885620116,0.0010790087526778667,,2,100,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",0.8852459016393442,0.819672131147541,0.8360655737704918,0.8032786885245902,0.8333333333333334,0.8355191256830601,0.02745323866028517,9
0.3305394172668457,0.021092613519240175,0.0358126163482666,0.0018216149506527337,,2,200,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}",0.8688524590163934,0.819672131147541,0.8360655737704918,0.7868852459016393,0.8333333333333334,0.8289617486338796,0.02652384939783955,17
0.12162647247314454,0.05791906026375064,0.013741302490234374,0.0040843687916537075,,5,50,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 50}",0.8852459016393442,0.819672131147541,0.8360655737704918,0.819672131147541,0.8,0.8321311475409837,0.02891201007875225,16
0.333380126953125,0.04998926802380451,0.039032602310180665,0.011342859074448385,,5,100,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 100}",0.8852459016393442,0.819672131147541,0.8360655737704918,0.819672131147541,0.8333333333333334,0.8387978142076504,0.02419228811057775,2
0.552376127243042,0.06614108432127426,0.05609803199768067,0.02121927872527696,,5,200,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}",0.8852459016393442,0.8360655737704918,0.8360655737704918,0.819672131147541,0.8166666666666667,0.8387431693989071,0.024608614814312885,4
